# Time, Susceptible, Exposed, Infected, Removed
0.000000000000000000e+00 9.999997195176714149e-01 0.000000000000000000e+00 2.804823286316080721e-07 0.000000000000000000e+00
1.000000000000000000e+00 1.000002671704746771e+00 4.345418345921577102e-08 2.656916010130670479e-07 1.911342396966777330e-08
2.000000000000000000e+00 1.000005622497071256e+00 8.526320255931116000e-08 2.533397266436823357e-07 3.875582186630612874e-08
3.000000000000000000e+00 1.000008572633634518e+00 1.232583620892728726e-07 2.451519838938263709e-07 5.863162219256101308e-08
4.000000000000000000e+00 1.000011524317669931e+00 1.515841148277946909e-07 2.456619447497901785e-07 7.785956907404613328e-08
5.000000000000000000e+00 1.000014478346404223e+00 1.678788869536962071e-07 2.567528319026748777e-07 9.612078793362823484e-08
6.000000000000000000e+00 1.000017434111060144e+00 1.732750780459228837e-07 2.776575187483917344e-07 1.136587854914272076e-07
7.000000000000000000e+00 1.000020389596853798e+00 1.723990610835458146e-07 3.049585293876623201e-07 1.312794497648160992e-07
8.000000000000000000e+00 1.000023341382996644e+00 1.733711824457621491e-07 3.325880386260183002e-07 1.503510500684209559e-07
9.000000000000000000e+00 1.000026284568731771e+00 1.879907099404420554e-07 3.516873042649377269e-07 1.728338194001503315e-07
1.000000000000000000e+01 1.000029196866181413e+00 2.715092376569180556e-07 3.203781860946152196e-07 2.076421834777527902e-07
1.100000000000000000e+01 1.000032077381266316e+00 4.256395485339871392e-07 2.374844554331485025e-07 2.551336690293924706e-07
1.200000000000000000e+01 1.000034943241860041e+00 6.069823198994951978e-07 1.361281838215875897e-07 3.084576551830314462e-07
1.300000000000000000e+01 1.000037808470963130e+00 7.798557913150130104e-07 4.357690136088628039e-08 3.620053734695294154e-07
1.400000000000000000e+01 1.000040683986703094e+00 9.162957645758367201e-07 -1.875640328809852917e-08 4.114099078226439400e-07
1.500000000000000000e+01 1.000043577602333977e+00 9.960556037109876750e-07 -3.531328290460594594e-08 4.535461945790300742e-07
1.600000000000000000e+01 1.000046494026236799e+00 1.006606234983211687e-06 3.610168292027517068e-09 4.865310224782407358e-07
1.700000000000000000e+01 1.000049434861919107e+00 9.431361468889808337e-07 1.018633146423701378e-07 5.097230326627261760e-07
1.800000000000000000e+01 1.000052398608015869e+00 8.085513901584914420e-07 2.574409790468920207e-07 5.237227186778348272e-07
1.900000000000000000e+01 1.000055380658287918e+00 6.134755777556635640e-07 4.624834429659691197e-07 5.303724264718119261e-07
2.000000000000000000e+01 1.000058373301623726e+00 3.762498848781481734e-07 7.032764464198790035e-07 5.327563543958016315e-07
2.100000000000000000e+01 1.000061365722038298e+00 1.229330489573128735e-07 9.602511879888021258e-07 5.352005532038449066e-07
2.200000000000000000e+01 1.000064343998673388e+00 -1.126986303417427516e-07 1.207984324812824261e-06 5.432729260528806837e-07
2.300000000000000000e+01 1.000067291105797507e+00 -2.891512911201995237e-07 1.415197972591934650e-06 5.637832285027443818e-07
2.400000000000000000e+01 1.000070186912805914e+00 -3.572135092455037422e-07 1.544759705586025950e-06 6.047830685161719304e-07
2.500000000000000000e+01 1.000073008184220846e+00 -2.599562983513923834e-07 1.553682556614892643e-06 6.755659064587943691e-07
2.600000000000000000e+01 1.000075738104938106e+00 4.337991670896956300e-08 1.411296738765086074e-06 7.828570602237233575e-07
2.700000000000000000e+01 1.000078423711774356e+00 4.334996014765904919e-07 1.208674710312769161e-06 9.078427907783913206e-07
2.800000000000000000e+01 1.000081114818410999e+00 7.841751119798091450e-07 1.042153851246262909e-06 1.030599682728713074e-06
2.900000000000000000e+01 1.000083842875922668e+00 1.015034928323121774e-06 9.732336506118482598e-07 1.138548693636071462e-06
3.000000000000000000e+01 1.000086622588695962e+00 1.087501116479082247e-06 1.031668748923256103e-06 1.225808732552947868e-06
3.100000000000000000e+01 1.000089451914428107e+00 1.004789328288299665e-06 1.215468938161667067e-06 1.293196660022921473e-06
3.200000000000000000e+01 1.000092312064127631e+00 8.119088014594434428e-07 1.490899161775709825e-06 1.348227288080670100e-06
3.300000000000000000e+01 1.000095167502114135e+00 5.956623595692369604e-07 1.792479514681462151e-06 1.405113380251969160e-06
3.400000000000000000e+01 1.000097965946018519e+00 4.846464120624599943e-07 2.022985243262453040e-06 1.484765651553693341e-06
3.500000000000000000e+01 1.000100643009118162e+00 6.376255780711906569e-07 2.062286547669600450e-06 1.612936007387782811e-06
3.600000000000000000e+01 1.000103241358574868e+00 9.451809251749442966e-07 1.994200638973770558e-06 1.772559008433144631e-06
3.700000000000000000e+01 1.000105821259839711e+00 1.253749293851973416e-06 1.936128686035020641e-06 1.939531196639252273e-06
3.800000000000000000e+01 1.000108407722534620e+00 1.497837396639134641e-06 1.938556870170755480e-06 2.103850057597850549e-06
3.900000000000000000e+01 1.000111014058701286e+00 1.641007509251664148e-06 2.029934981019579573e-06 2.260191485935961141e-06
4.000000000000000000e+01 1.000113641882801163e+00 1.675877470583178931e-06 2.216676416541292901e-06 2.407909785315882390e-06
4.100000000000000000e+01 1.000116281111714800e+00 1.624120682705675112e-06 2.483158183016895166e-06 2.551037668435190774e-06
4.200000000000000000e+01 1.000118909964742286e+00 1.536466110869532383e-06 2.791720895048582823e-06 2.698286257026738373e-06
4.300000000000000000e+01 1.000121494963603253e+00 1.492698283503508503e-06 3.082668775559748235e-06 2.863045081858656676e-06
4.400000000000000000e+01 1.000123990932437090e+00 1.601657292214741838e-06 3.274269655794986871e-06 3.063382082734350653e-06
4.500000000000000000e+01 1.000126365285876284e+00 1.940288662546156716e-06 3.309131357184777629e-06 3.312329281503581681e-06
4.600000000000000000e+01 1.000128660951935089e+00 2.396277343505975883e-06 3.273810070778417985e-06 3.592717525775662661e-06
4.700000000000000000e+01 1.000130924466800852e+00 2.848129278068843875e-06 3.261875294800089546e-06 3.885935188638947116e-06
4.800000000000000000e+01 1.000133188515494709e+00 3.208593122706641799e-06 3.340965369687223580e-06 4.178910253760157596e-06
4.900000000000000000e+01 1.000135471968357948e+00 3.424567805597786936e-06 3.552858029248278918e-06 4.464095719981811552e-06
5.000000000000000000e+01 1.000137779881050681e+00 3.477102526627228511e-06 3.913470400662742379e-06 4.739469601322218377e-06
5.100000000000000000e+01 1.000140103494553401e+00 3.381396757386451502e-06 4.412859004481125378e-06 5.008534926975483216e-06
5.200000000000000000e+01 1.000142420235166529e+00 3.186800241173474944e-06 5.015219754624970707e-06 5.280319741311500188e-06
5.300000000000000000e+01 1.000144693714509980e+00 2.976812992992847697e-06 5.658887958386846600e-06 5.569377103875961709e-06
5.400000000000000000e+01 1.000146873729522934e+00 2.869085299555660302e-06 6.256338316430346315e-06 5.895785089390350860e-06
5.500000000000000000e+01 1.000148896262465170e+00 3.015417719279530583e-06 6.694184922790094062e-06 6.285146787751946478e-06
5.600000000000000000e+01 1.000150703056703838e+00 3.552638885333858889e-06 6.870556910287754551e-06 6.760761067514307437e-06
5.700000000000000000e+01 1.000152369430110433e+00 4.282285823587512628e-06 6.938722325492241062e-06 7.292504986188814802e-06
5.800000000000000000e+01 1.000153969796925946e+00 5.007964761081237789e-06 7.050421435722607423e-06 7.850617810480567399e-06
5.900000000000000000e+01 1.000155549424073476e+00 5.605480928831358824e-06 7.302685747874811867e-06 8.416995881110499509e-06
6.000000000000000000e+01 1.000157131117848763e+00 6.006018052907931669e-06 7.750646198036019270e-06 8.982518241502852511e-06
6.100000000000000000e+01 1.000158715223921524e+00 6.196138354434742055e-06 8.407533151484592685e-06 9.547046637785183354e-06
6.200000000000000000e+01 1.000160279627333670e+00 6.217782549589310584e-06 9.244676402690104350e-06 1.011942551878835778e-05
6.300000000000000000e+01 1.000161779752500424e+00 6.168269849602880874e-06 1.019150517531332552e-05 1.071748203604655202e-05
6.400000000000000000e+01 1.000163148563210536e+00 6.200297960760437346e-06 1.113554812220622734e-05 1.136802604379725617e-05
6.500000000000000000e+01 1.000164296562625177e+00 6.521943084400684049e-06 1.192243332541199434e-05 1.210685009898126915e-05
6.600000000000000000e+01 1.000165149089331074e+00 7.303064425261021277e-06 1.242710358905705549e-05 1.296381360776697668e-05
6.700000000000000000e+01 1.000165805334226166e+00 8.276862664860505420e-06 1.285683680832017082e-05 1.389924709718215434e-05
6.800000000000000000e+01 1.000166334717828454e+00 9.250577254764721534e-06 1.336273629189683384e-05 1.488538729083508225e-05
6.900000000000000000e+01 1.000166776331641971e+00 1.010587994031408549e-05 1.403967254794325257e-05 1.590660043287211292e-05
7.000000000000000000e+01 1.000167146568514687e+00 1.077968682474116733e-05 1.494089248406940145e-05 1.695633066614545063e-05
7.100000000000000000e+01 1.000167439122638502e+00 1.126415836917069212e-05 1.607801940733901799e-05 1.803710003221314459e-05
7.200000000000000000e+01 1.000167624989549697e+00 1.160669939261954160e-05 1.742105302426960785e-05 1.916050847133909238e-05
7.300000000000000000e+01 1.000167652466127599e+00 1.190995907199675764e-05 1.889836944083243971e-05 2.034723382249304502e-05
7.400000000000000000e+01 1.000167447150596578e+00 1.233183094210353373e-05 2.039672116245254535e-05 2.162703182335059681e-05
7.500000000000000000e+01 1.000166911942524273e+00 1.308545289563321497e-05 2.176123709400873312e-05 2.303873611029319546e-05
7.600000000000000000e+01 1.000165970288957151e+00 1.433035839454239469e-05 2.287832013953266120e-05 2.461296327244233526e-05
7.700000000000000000e+01 1.000164712031142100e+00 1.580693187092329895e-05 2.395367350042630310e-05 2.631378443105265275e-05
7.800000000000000000e+01 1.000163203803754675e+00 1.731277904548505657e-05 2.514970597854331090e-05 2.811455039005580250e-05
7.900000000000000000e+01 1.000161483084613723e+00 1.871563052142367664e-05 2.657619733369126543e-05 3.000027296922279786e-05
8.000000000000000000e+01 1.000159562066901042e+00 1.994354206373504624e-05 2.829777431164698327e-05 3.196607647745064581e-05
8.100000000000000000e+01 1.000157427659162268e+00 2.098489459921493887e-05 3.033391064415651335e-05 3.401719771276233000e-05
8.200000000000000000e+01 1.000155041485305318e+00 2.188839421645898060e-05 3.265892704893514031e-05 3.616898596230685140e-05
8.300000000000000000e+01 1.000152339884601504e+00 2.276307216586269749e-05 3.520199122966736761e-05 3.844690300235917074e-05
8.400000000000000000e+01 1.000149233911685531e+00 2.377828485962148170e-05 3.784711787600694797e-05 4.088652309832024911e-05
8.500000000000000000e+01 1.000145609336555053e+00 2.516371387173059828e-05 4.043316866357686307e-05 4.353353300471704800e-05
8.600000000000000000e+01 1.000141343943151018e+00 2.716557724618636190e-05 4.278726000017045694e-05 4.643681433028178915e-05
8.700000000000000000e+01 1.000136493143857885e+00 2.957946074421075131e-05 4.508054887696478878e-05 4.957421194016448465e-05
8.800000000000000000e+01 1.000131142327021383e+00 3.212452927829662519e-05 4.754263093141521297e-05 5.291157694010922136e-05
8.900000000000000000e+01 1.000125333312932963e+00 3.462414389740623078e-05 5.032504872594277198e-05 5.643218542899624537e-05
9.000000000000000000e+01 1.000119076240098437e+00 3.697531978763069285e-05 5.352469998280484425e-05 6.013198599465592814e-05
9.100000000000000000e+01 1.000112349565237535e+00 3.914872627219003067e-05 5.718383758409518487e-05 6.401959971386875974e-05
9.200000000000000000e+01 1.000105100063283681e+00 4.118868681143315799e-05 6.129006957174387813e-05 6.811632015236536236e-05
9.300000000000000000e+01 1.000097242827384658e+00 4.321317900283786948e-05 6.577635914751736460e-05 7.245611336482650391e-05
9.400000000000000000e+01 1.000088661268902390e+00 4.541383458101084754e-05 7.052102467301845474e-05 7.708561789488305735e-05
9.500000000000000000e+01 1.000079207117413160e+00 4.805593941768765550e-05 7.534773966968630853e-05 8.206414477511604134e-05
9.600000000000000000e+01 1.000068705222277865e+00 5.146621729674796266e-05 8.003486749998593535e-05 8.746175749958257247e-05
9.700000000000000000e+01 1.000057160437348935e+00 5.550965245683740486e-05 8.471449100818253359e-05 9.327653513502965179e-05
9.800000000000000000e+01 1.000044667349447414e+00 5.982231110803870166e-05 8.969377782335799228e-05 9.947065702273472879e-05
9.900000000000000000e+01 1.000031249877865402e+00 6.420950997809159763e-05 9.515304943221064603e-05 1.060345656580949847e-04
1.000000000000000000e+02 1.000016895062975975e+00 6.855824238698960608e-05 1.012130736865968716e-04 1.129734594977326598e-04
1.010000000000000000e+02 1.000001553066233617e+00 7.283717824698004973e-05 1.079350648035311012e-04 1.203072929594952166e-04
1.020000000000000000e+02 9.999851371701747871e-01 7.709666406256407423e-05 1.153206833651858364e-04 1.280707764224552579e-04
1.030000000000000000e+02 9.999675237784163562e-01 8.146872293049660753e-05 1.233120363188915938e-04 1.363133762269104867e-04
1.040000000000000000e+02 9.999485524156572769e-01 8.616705453978637345e-05 1.317916769771369453e-04 1.450993146743838141e-04
1.050000000000000000e+02 9.999280257276775830e-01 9.148703517169589163e-05 1.405826050175685866e-04 1.545075700276232647e-04
1.060000000000000000e+02 9.999057224655185649e-01 9.777245391039897132e-05 1.494737379117747989e-04 1.646266846912646691e-04
1.070000000000000000e+02 9.998816414961281263e-01 1.047956938312703530e-04 1.586933087328515194e-04 1.754571755706743565e-04
1.080000000000000000e+02 9.998558144427134309e-01 1.122398788479392004e-04 1.685391792521655674e-04 1.869864337753310724e-04
1.090000000000000000e+02 9.998281999277351950e-01 1.199550180186767192e-04 1.791861191311022966e-04 1.992310581268572133e-04
1.100000000000000000e+02 9.997987182157795916e-01 1.278675031423328788e-04 1.907555117772566670e-04 2.122230088341212778e-04
1.110000000000000000e+02 9.997672512135590273e-01 1.359801087583362763e-04 2.033153543444331094e-04 2.260096074932380029e-04
1.120000000000000000e+02 9.997336424699119206e-01 1.443719921466942997e-04 2.168802577326455524e-04 2.406535370875682552e-04
1.130000000000000000e+02 9.996976971758025909e-01 1.531986933279928971e-04 2.314114465881174495e-04 2.562328419877191936e-04
1.140000000000000000e+02 9.996591821643211473e-01 1.626921350633968614e-04 2.468167593032819418e-04 2.728409279515441608e-04
1.150000000000000000e+02 9.996178259106841546e-01 1.731606228546495865e-04 2.629506480167814243e-04 2.905865621241426563e-04
1.160000000000000000e+02 9.995733672691841099e-01 1.848612506486234158e-04 2.797125159796741293e-04 3.095743930164010136e-04
